"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1387","POST Request - Create Notes","chrome","Fri Feb 21 15:08:55 IST 2025","passed","Fri Feb 21 15:08:56 IST 2025","Create Notes API Testing","Create_Notes_CallingToken.spec.js","",""
"","851","Create Order - Verify Order: TC3","chrome","Thu May 08 12:55:31 IST 2025","passed","Thu May 08 12:55:32 IST 2025","E2E WebOrder Application","ReadData_CreateOrder_All_Scenario_Using_Single_Locator.spec.js","",""
"","6656","Go to Order Page","Mobile Chrome","Thu Nov 28 10:25:08 IST 2024","passed","Thu Nov 28 10:25:15 IST 2024","WebOrder E2E Test tests","WebOrder_Login_CallingBaseClass.spec.js","",""
"","1811","Create Order - Verify Order: TC10","chrome","Thu May 08 12:55:37 IST 2025","passed","Thu May 08 12:55:39 IST 2025","E2E WebOrder Application","ReadData_CreateOrder_All_Scenario_Using_Single_Locator.spec.js","",""
"","2599","Transfer Funds TC27","chrome","Fri Nov 29 11:04:59 IST 2024","passed","Fri Nov 29 11:05:01 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","4085","Login Test case","chrome","Wed May 07 12:10:40 IST 2025","passed","Wed May 07 12:10:44 IST 2025","","WebOrder_Individual_TestBlock.spec.js","",""
"","9832","Dynamic Load Element- Wait for default time of expect","chrome","Fri May 09 13:09:34 IST 2025","passed","Fri May 09 13:09:43 IST 2025","","Dynamic_Load_Element.spec.js","",""
"","55","Weborder Login Functionality","chrome","Fri Feb 21 13:10:45 IST 2025","failed","Fri Feb 21 13:10:45 IST 2025","","NopCom_Login_CreateCustomer.spec.js","",""
"","706","POST Request - Create Note 2: Note 2","webkit","Wed Apr 23 12:49:33 IST 2025","passed","Wed Apr 23 12:49:34 IST 2025","Create Notes API Testing","Create_Notes_Calling_Data_From_JSON.spec.js","",""
"","2296","Transfer Funds TC8","chrome","Fri Nov 29 11:04:11 IST 2024","passed","Fri Nov 29 11:04:14 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","5966","Parameterize tests in playwright FamilyAlbum","chrome","Wed Feb 19 16:39:05 IST 2025","passed","Wed Feb 19 16:39:11 IST 2025","","Parametrize_WebOrder_CreateOrder_Dropdown_Value.spec.js","",""
"","6147","OrangeHRM: TC5","chrome","Fri May 09 09:50:15 IST 2025","passed","Fri May 09 09:50:21 IST 2025","","ReadData_From_JSON_OrangeHRM_Login_All_TCs.spec.js","",""
"","2802","Transfer Funds TC24","chrome","Fri Nov 29 11:04:51 IST 2024","passed","Fri Nov 29 11:04:53 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","1481","POST Request - Create Notes","chrome","Fri Feb 21 15:14:34 IST 2025","passed","Fri Feb 21 15:14:36 IST 2025","Create Notes API Testing","Update_Notes_CallingToken.spec.js","",""
"","4","Put Request - Update Notes","chrome","Fri Feb 21 15:14:36 IST 2025","skipped","Fri Feb 21 15:14:36 IST 2025","Create Notes API Testing","Update_Notes_CallingToken.spec.js","",""
"","46","WebOrder Login - Valid User","chrome","Fri Feb 21 13:11:05 IST 2025","failed","Fri Feb 21 13:11:05 IST 2025","","WebOrder_Login_TCs.spec.js","",""
"","35657","Delete Order","chrome","Wed May 07 12:32:39 IST 2025","broken","Wed May 07 12:33:15 IST 2025","E2E WebOrder Application","WebOrder_Individual_Test_Block_UsingBrowser.spec.js","",""
"","4449","@regression WebOrder Login: TC1","chrome","Tue Apr 22 16:20:36 IST 2025","passed","Tue Apr 22 16:20:40 IST 2025","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","1026","POST Request - Create Notes","chrome","Fri Feb 21 13:11:30 IST 2025","passed","Fri Feb 21 13:11:31 IST 2025","Create Notes API Testing","Update_Notes.spec.js","",""
"","1357","GET Request - GET All Notes","chrome","Fri Feb 21 13:11:26 IST 2025","passed","Fri Feb 21 13:11:28 IST 2025","GET ALL Notes API Testing","Get_All_Notes.spec.js","",""
"","1450","POST Request - Create Notes","chrome","Fri Feb 21 15:21:21 IST 2025","passed","Fri Feb 21 15:21:22 IST 2025","Create Notes API Testing","Delete_Notes_CallingToken.spec.js","",""
"","866","POST Request - Access Token","webkit","Wed Apr 23 12:13:55 IST 2025","passed","Wed Apr 23 12:13:56 IST 2025","Access Token","Authenticate_Access_Token.spec.js","",""
"","2381","Transfer Funds TC16","chrome","Fri Nov 29 11:04:30 IST 2024","passed","Fri Nov 29 11:04:33 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","23977","Scrap Title and Price of Products @smoke","chrome","Wed Nov 27 12:49:02 IST 2024","passed","Wed Nov 27 12:49:26 IST 2024","","Name_Price_Scrapper_Pagination.spec.js","",""
"","9013","Search Product Test","chrome","Wed Apr 23 10:05:42 IST 2025","passed","Wed Apr 23 10:05:51 IST 2025","","Search_Product.spec.js","",""
"","2504","Transfer Funds TC21","chrome","Fri Nov 29 11:04:43 IST 2024","passed","Fri Nov 29 11:04:45 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","5192","test","chrome","Tue May 06 11:02:26 IST 2025","passed","Tue May 06 11:02:31 IST 2025","","WebOrder_Login_Using_Xpath.spec.js","",""
